standard_id,standard_text,chunk_count,avg_score,max_score,coverage_level
CCSS.MATH.2.MD.A.3,"Estimate lengths using units of inches, feet, centimeters, and meters.",0,0,0,none
CCSS.MATH.2.MD.A.4,"Measure to determine how much longer one object is than another, expressing the length difference in terms of a standard length unit.",0,0,0,none
CCSS.MATH.2.MD.B.5,"Use addition and subtraction within 100 to solve word problems involving lengths that are given in the same units, e.g., by using drawings (such as drawings of rulers) and equations with a symbol for the unknown number to represent the problem.",0,0,0,none
CCSS.MATH.2.MD.B.6,"Represent whole numbers as lengths from 0 on a number line diagram with equally spaced points corresponding to the number 0, 1, 2, …, and represent whole-number sums and differences within 100 on a number line diagram.",0,0,0,none
CCSS.MATH.2.MD.C.7,"Tell and write time from analog and digital clocks to the nearest five minutes, using a.m. and p.m.",0,0,0,none
CCSS.MATH.2.MD.C.8,"Solve word problems involving dollar bills, quarters, dimes, nickels, and pennies, using $ and ¢ symbols appropriately. Example: If you have 2 dimes and 3 pennies, how many cents do you have?",0,0,0,none
CCSS.MATH.2.MD.D.10,"Draw a picture graph and a bar graph (with single-unit scale) to represent a data set with up to four categories. Solve simple put-together, take-apart, and compare problems using information presented in a bar graph.",1,0.6773,0.6773,weak
CCSS.MATH.2.MD.D.9,"Generate measurement data by measuring lengths of several objects to the nearest whole unit, or by making repeated measurements of the same object. Show the measurements by making a line plot, where the horizontal scale is marked off in whole-number units.",1,0.686,0.686,weak
CCSS.MATH.2.NBT.A.1,"Understand that the three digits of a three-digit number represent amounts of hundreds, tens, and ones; e.g., 706 equals 7 hundreds, 0 tens, and 6 ones.",0,0,0,none
CCSS.MATH.2.NBT.A.2,"Count within 1000; skip-count by 5s, 10s, and 100s.",0,0,0,none
CCSS.MATH.2.NBT.A.3,"Read and write numbers to 1000 using base-ten numerals, number names, and expanded form.",0,0,0,none
CCSS.MATH.2.NBT.A.4,"Compare two three-digit numbers based on meanings of the hundreds, tens, and ones digits, using >, =, and < symbols to record the results of comparisons.",0,0,0,none
CCSS.MATH.2.NBT.B.5,"Fluently add and subtract within 100 using strategies based on place value, properties of operations, and/or the relationship between addition and subtraction.",0,0,0,none
CCSS.MATH.2.NBT.B.6,"Add up to four two-digit numbers using strategies based on place value, properties of operations.",0,0,0,none
CCSS.MATH.2.NBT.B.7,"Add and subtract within 1000, using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method. Understand that in adding or subtracting three-digit numbers, one adds or subtracts hundreds and hundreds, tens and tens, ones and ones; and sometimes it is necessary to compose or decompose tens or hundreds.",0,0,0,none
CCSS.MATH.2.NBT.B.8,"Mentally add 10 or 100 to a given number 100-900, and mentally subtract 10 or 100 from a given number 100-900.",0,0,0,none
CCSS.MATH.2.NBT.B.9,"Explain why addition and subtraction strategies work, using place value and the properties of operations.",0,0,0,none
CCSS.MATH.2.OA.A.1,"Use addition and subtraction within 100 to solve one- and two-step word problems involving situations of adding to, taking from, putting together, taking apart, and comparing, with unknowns in all positions, e.g., by using drawings, and equations with a symbol for the unknown number to represent the problem.",1,0.65,0.65,weak
CCSS.MATH.2.OA.B.2,"Fluently add and subtract within 20 using mental strategies. By end of Grade 2, know from memory all sums of two one-digit numbers.",0,0,0,none
CCSS.MATH.2.OA.C.3,"Determine whether a group of objects (up to 20 has an odd or even number of members, e.g., by pairing objects or counting them by 2s; write an equation to express an even number as a sum of two equal addends.",0,0,0,none
CCSS.MATH.2.OA.C.4,Use addition to find the total number of objects arranged in rectangular arrays with up to 5 rows and up to 5 columns; write an equation to express the total as a sum of equal addends.,0,0,0,none
CCSS.MATH.3.G.A.1,"Understand that shapes in different categories (e.g., rhombuses, rectangles, and others) may share attributes (e.g., having four sides), and that the shared attributes can define a larger category (e.g., quadrilaterals). Recognize rhombuses, rectangles, and squares as examples of quadrilaterals, and draw examples of quadrilaterals that do not belong to any of these subcategories.",3,0.6645,0.6733,strong
CCSS.MATH.3.G.A.2,"Partition shapes into parts with equal areas. Express the area of each part as a unit fraction of the whole. For example, partition a shape into 4 parts with equal area, and describe the area of each part as ¼ of the area of the shape.",1,0.688,0.688,weak
CCSS.MATH.3.MD.A.1,"Tell and write time to the nearest minute and measure time intervals in minutes. Solve word problems involving addition and subtraction of time intervals in minutes, e.g., by representing the problem on a number line diagram.",0,0,0,none
CCSS.MATH.3.MD.A.2,"Measure and estimate liquid volumes and masses of objects using standard units of grams (g), kilograms kg), and liters (l). Add, subtract, multiply, or divide to solve one-step word problems involving masses or volumes that are given in the same units, e.g., by using drawings (such as a beaker with a measurement scale) to represent the problem.",1,0.6803,0.6803,weak
CCSS.MATH.3.MD.B.3,"Draw a scaled picture graph and a scaled bar graph to represent a data set with several categories. Solve one- and two-step ""how many more"" and ""how may less"" problems using information presented in scaled bar graphs. For example, draw a bar graph in which each square in the bar graph might represent 5 pets.",2,0.67885,0.6863,weak
CCSS.MATH.3.MD.B.4,"Generate measurement data by measuring lengths using rulers marked with halves and fourths of an inch. Show the data by making a line plot where the horizontal scale is marked off in appropriate units – whole numbers, halves, or quarters.",6,0.6697166666666666,0.6952,strong
CCSS.MATH.3.MD.C.5,Recognize area as an attribute of plane figures and understand concept of area measurement.,1,0.65,0.65,weak
CCSS.MATH.3.MD.C.6,"Measure areas by counting unit squares (square cm, square m, square in., square ft., and improvised units).",3,0.6853333333333333,0.6959,strong
CCSS.MATH.3.MD.C.7,Relate area to the operations of multiplication and addition.,0,0,0,none
CCSS.MATH.3.MD.D.8,"Solve real world and mathematical problems involving perimeters of polygons, including finding the perimeter given the side lengths, finding an unknown side length, and exhibiting rectangles with the same perimeter and different areas or with the same area and different perimeters.",0,0,0,none
CCSS.MATH.3.NBT.A.1,Use place value understanding to round whole numbers to the nearest 10 or 100.,0,0,0,none
CCSS.MATH.3.NBT.A.2,"Fluently add and subtract within 1000 using strategies and algorithms based on place value, properties of operations, and/or the relationship between addition and subtraction.",0,0,0,none
CCSS.MATH.3.NBT.A.3,"Multiply one-digit whole numbers by multiples of 10 in the range of 10-90 (e.g., 9 x 80, 5 x 60) using strategies based on place value and properties of operations.",0,0,0,none
CCSS.MATH.3.NF.A.1,Understand a fraction 1/b as the quantity formed by 1 part when a whole is partitioned into b equal parts; understand a fraction a/b as the quantity formed by a parts of size 1/b.,0,0,0,none
CCSS.MATH.3.NF.A.2,Understand a fraction as a number on the number line; represent fractions on a number line diagram.,0,0,0,none
CCSS.MATH.3.NF.A.3,"Explain equivalence of fractions in special cases, and compare fractions by reasoning about their size.",0,0,0,none
CCSS.MATH.3.OA.A.1,"Interpret products of whole numbers, e.g., interpret 5 x 7 as the total number of objects in 5 groups of 7 objects each. For example, describe a context in which a total number of objects can be expressed as 5 x 7.",0,0,0,none
CCSS.MATH.3.OA.A.2,"Interpret whole-number quotients of whole numbers, e.g., interpret 56 ÷ 8 as the number of objects in each share when 56 objects are partitioned equally into 8 shares, or as a number of shares when 56 objects are partitioned into equal shares of 8 objects each. For example, describe a context in which a number of shares or a number of groups can be expressed as 56 ÷8.",0,0,0,none
CCSS.MATH.3.OA.A.3,"Use multiplication and division within 100 to solve word problems in situations involving equal groups, arrays, and measurement quantities, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem.",2,0.6952,0.6993,weak
CCSS.MATH.3.OA.A.4,"Determine the unknown whole number in a multiplication or division equation relating three whole numbers. For example, determine the unknown number that makes the equation true in each of the equations 8 x ? = 48, 5 =☐ ÷ 3, 6 x 6 = ?",0,0,0,none
CCSS.MATH.3.OA.B.5,"Apply properties of operations as strategies to multiply and divide. <ul><li>If 6 x 4 = 24 is known, then 4 x 6 = 24 is also known. (Commutative property of multiplication)</li> <li>3 x 5 x 2 can be found by 3 x 5 = 15, then 15 x 2 = 30, or by 5 x 2 = 10, then 3 x 10 = 30. (Associative property of multiplication)</li> <li>Knowing that 8 x 5 = 40 and 8 x 2 = 16, one can find 8 x 7 as 8 x (5 + 2) = (8 x 5) + (8 x 2) which leads to 40 + 16 = 56. (Distributive property)</li></ul>",0,0,0,none
CCSS.MATH.3.OA.B.6,"Understand division as an unknown-factor problem. For example, find 32 ÷ 8 by finding the number that makes 32 when multiplied by 8.",0,0,0,none
CCSS.MATH.3.OA.C.7,"Fluently multiply and divide within 100, using strategies such as the relationship between multiplication and division (e.g., knowing that 8 x 5 = 40, one knows 40 ÷ 5 = 8) or properties of operations. By the end of Grade 3, know from memory all products of two one-digit numbers.",14,0.6633000000000001,0.6981,strong
CCSS.MATH.3.OA.D.8,Solve two-step word problems using the four operations. Represent these problems using equations with a letter standing for the unknown quantity. Assess the reasonableness of answers using mental computation and estimation strategies including rounding.,0,0,0,none
CCSS.MATH.3.OA.D.9,"Identify arithmetic patterns (including patterns in the addition table or multiplication table), and explain them using properties of operations. For example, observe that 4 times a number is always even and explain why 4 times a number can be decomposed into two equal addends.",0,0,0,none
CCSS.MATH.4.G.A.1,"Draw points, lines, line segments, rays, angles (right, acute, obtuse), and perpendicular and parallel lines. Identify these in two-dimensional figures.",0,0,0,none
CCSS.MATH.4.G.A.2,"Classify two-dimensional figures based on the presence or absence of parallel or perpendicular lines, or the presence or absence of angles of a specified size. Recognize right triangles as a category, and identify right triangles.",0,0,0,none
CCSS.MATH.4.G.A.3,Recognize a line of symmetry for a two-dimensional figure as a line across the figure such that the figure can be folded along the line into matching parts. Identify line-symmetric figures and draw lines of symmetry.,0,0,0,none
CCSS.MATH.4.MD.A.1,"Know relative sizes of measurement units within one system of units including km, m, cm, kg, g; lb, oz.; l, ml; hr, min, sec. Within a single system of measurement, express measurements in a larger unit in terms of a smaller unit. Record measurement equivalents in a two-column table. For example, know that 1 ft is 12 times as long as 1 in. Express the length of a 4 ft snake as 48 in. Generate a conversion table for feet and inches listing the number pairs (1, 12), (2, 24), 3, 36), …",4,0.6954,0.7228,strong
CCSS.MATH.4.MD.A.2,"Use the four operations to solve word problems involving distances, intervals of time, liquid volumes, masses of objects, and money, including problems involving simple fractions or decimals, and problems that require expressing measurements given in a larger unit in terms of a smaller unit. Represent measurement quantities using diagrams such as number line diagrams that feature a measurement scale.",11,0.6759181818181819,0.702,strong
CCSS.MATH.4.MD.A.3,"Apply the area and perimeter formulas for rectangles in real world and mathematical problems. For example, find the width of a rectangular room given the area of the flooring and the length, by viewing the area formulas as a multiplication equation with an unknown factor.",7,0.6756142857142857,0.6947,strong
CCSS.MATH.4.MD.B.4,"Make a line plot to display a data set of measurements in fractions of a unit (1/2, 1/4, 1/8). Solve problems involving addition and subtraction of fractions by using information presented in line plots. For example, from a line plot find and interpret the difference in length between the longest and shortest specimens in an insect collection.",4,0.67635,0.6858,strong
CCSS.MATH.4.MD.C.5,"Recognize angles as geometric shapes that are formed wherever two rays share a common endpoint, and understand concepts of angle measurement.",4,0.6768749999999999,0.6907,strong
CCSS.MATH.4.MD.C.6,Measure angles in whole-number degrees using a protractor. Sketch angles of specified measure.,3,0.7013666666666666,0.7176,strong
CCSS.MATH.4.MD.C.7,"Recognize angle measure as additive. When an angle is decomposed into non-overlapping parts, the angle measure of the whole is the sum of the angle measures of the parts. Solve addition and subtraction problems to find unknown angles on a diagram in real world and mathematical problems, e.g., by using an equation with a symbol for the unknown angle measure.",7,0.6865428571428571,0.7065,strong
CCSS.MATH.4.NBT.A.1,"Recognize that in a multi-digit whole number, a digit in one place represents ten times what it represent in the place to its right. For example, recognize that 700 ÷ 70 = 10 by applying concepts of place value and division.",5,0.6826000000000001,0.6982,strong
CCSS.MATH.4.NBT.A.2,"Read and write multi-digit whole numbers using base-ten numerals, number names, and expanded form. Compare two multi-digit numbers based on meanings of the digits in each place, using >, =, and < symbols to record the results of comparisons.",1,0.6966,0.6966,weak
CCSS.MATH.4.NBT.A.3,Use place value understanding to round multi-digit whole numbers to any place.,0,0,0,none
CCSS.MATH.4.NBT.B.4,Fluently add and subtract multi-digit whole numbers using the standard algorithm.,0,0,0,none
CCSS.MATH.4.NBT.B.5,"Multiply a whole number of up to four digits by a one-digit whole number, and multiply two two-digit numbers, using strategies based on place value and the properties of operations. Illustrate and explain the calculation by using equations, rectangular arrays, and/or area models.",1,0.6765,0.6765,weak
CCSS.MATH.4.NBT.B.6,"Find whole-number quotients and remainders with up to four-digit dividends and one-digit divisors, using strategies based on place value, the properties of operations, and/or the relationship between multiplication and division. Illustrate and explain the calculation by using equations, rectangular arrays, and/or area models.",5,0.6927,0.7051999999999999,strong
CCSS.MATH.4.NF.A.1,"Explain why a fraction a/b is equivalent to a fraction (n x a)/(n x b) by using visual fraction models, with attention to how the number and size of the parts differ even though the two fractions themselves are the same size. Use this principle to recognize and generate equivalent fractions.",0,0,0,none
CCSS.MATH.4.NF.A.2,"Compare two fractions with different numerators and different denominators, e.g., by creating common denominators or numerators, or by comparing to a benchmark fraction such as ½. Recognize that comparisons are valid only when the two fractions refer to the same whole. Record the results of comparisons with symbols >, =, <, and justify the conclusions, e.g., by using a visual fraction model.",0,0,0,none
CCSS.MATH.4.NF.B.3,Understand a fraction a/b with a > 1 as a sum of fractions 1/b,0,0,0,none
CCSS.MATH.4.NF.B.4,Apply and extend previous understandings of multiplication to multiply a fraction by a whole number.,4,0.7335499999999999,0.7813,strong
CCSS.MATH.4.NF.C.5,"Express a fraction with denominator 10 as an equivalent fraction with denominator 100, and use this technique to add two fractions with respective denominators 10 and 100. For example, express 3/10 as 30/100, and add 3/10 + 4/100 = 34/100.",0,0,0,none
CCSS.MATH.4.NF.C.6,"Use decimal notation for fractions with denominators 10 and 100. For example, rewrite 0.62 as 62/100; describe a length as 0.62 meters; locate 0.62 on a number line diagram.",4,0.676825,0.6888,strong
CCSS.MATH.4.NF.C.7,"Compare two decimals to hundredths by reasoning about their size. Recognize that comparisons are valid only when the two decimals refer to the same whole. Record the results of comparisons with the symbols >, =, <, and justify the conclusions, e.g., by using a visual model.",0,0,0,none
CCSS.MATH.4.OA.A.1,"Interpret a multiplication equation as a comparison, e.g., interpret 35 = 5 x 7 as a statement that 35 is 5 times as many as 7 and 7 times as many as 5. Represent verbal statements of multiplicative comparisons as multiplication equations.",2,0.69195,0.6949,weak
CCSS.MATH.4.OA.A.2,"Multiply or divide to solve word problems involving multiplicative comparison, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem, distinguishing multiplicative comparison from additive comparison.",17,0.6795058823529411,0.6949,strong
CCSS.MATH.4.OA.A.3,"Solve multistep word problems posed with whole numbers and having whole-number answers using the four operations, including problems in which remainders must be interpreted. Represent these problems using equations with a letter standing for the unknown quantity. Assess the reasonableness of answers using mental computation and estimation strategies including rounding.",0,0,0,none
CCSS.MATH.4.OA.B.4,Find all factor pairs for a whole number in the range 1-100. Recognize that a whole number is a multiple of each of its factors. Determine whether a given whole number in the range 1-100 is a multiple of a given one-digit number. Determine whether a given whole number in the range of 1-100 is prime or composite.,1,0.662,0.662,weak
CCSS.MATH.4.OA.C.5,"Generate a number or shape pattern that follows a given rule. Identify apparent features of the pattern that were not explicit in the rule itself. For example, given the rule ""Add 3"" and the starting number 1, generate terms in the resulting sequence and observe that the terms appear to alternate between odd and even numbers. Explain informally why the numbers will continue to alternate in this way.",3,0.6770999999999999,0.6812,strong
CCSS.MATH.5.G.A.1,"Use a pair of perpendicular number lines, called axes, to define a coordinate system, with the intersection of the lines (the origin) arranged to coincide with the 0 on each line and a given point in the plane located by using an ordered pair of numbers, called its coordinates. Understand that the first number indicates how far to travel from the origin in the direction of one axis, and the second number indicates how far to travel in the direction of the second axis, with the convention that the names of the two axes and the coordinates correspond (e.g., x-axis and x-coordinate, y-axis and y-coordinate).",3,0.6909000000000001,0.6929,strong
CCSS.MATH.5.G.A.2,"Represent real world and mathematical problems by graphing points in the first quadrant of the coordinate plane, and interpret coordinate values of points in the context of the situation.",11,0.7038909090909091,0.8024,strong
CCSS.MATH.5.G.B.3,"Understand that attributes belonging to a category of two-dimensional figures also belong to all subcategories of that category. For example, all rectangles have four right angles and squares are rectangles, so all squares have four right angles.",0,0,0,none
CCSS.MATH.5.G.B.4,Classify two-dimensional figures in a hierarchy based on properties.,0,0,0,none
CCSS.MATH.5.MD.A.1,"Convert among different-sized standard measurement units within a given measurement system (e.g., convert 5 cm to 0.05 m), and use these conversions in solving multi-step real world problems.",9,0.7198555555555556,0.7868,strong
CCSS.MATH.5.MD.B.2,"Make a line plot to display a data set of measurements in fractions of a unit (1/2, 1/4, 1/8). Use operations on fractions for this grade to solve problems involving information presented in line plots. For example, given different measurements of liquid in identical beakers, find the amount of liquid each beaker would contain if the total amount in all the beakers were redistributed equally.",10,0.67863,0.7776000000000001,strong
CCSS.MATH.5.MD.C.3,Recognize volume as an attribute of solid figures and understand concepts of volume measurement.,1,0.6797,0.6797,weak
CCSS.MATH.5.MD.C.4,"Measure volumes by counting unit cubes, using cubic cm, cubic in, cubic ft, and improvised units.",3,0.7526,0.7631,strong
CCSS.MATH.5.MD.C.5,Relate volume to the operations of multiplication and addition and solve real world and mathematical problems involving volume.,1,0.6927,0.6927,weak
CCSS.MATH.5.NBT.A.1,"Recognize that in a multi-digit number, a digit in one place represents 10 times as much as it represents in the place to its right and 110 of what it represents in the place to its left.",1,0.693,0.693,weak
CCSS.MATH.5.NBT.A.2,"Explain patterns in the number of zeros of the product when multiplying a number by powers of 10, and explain patterns in the placement of the decimal point when a decimal is multiplied or divided by a power of 10. Use whole number exponents to denote powers of 10.",14,0.7435071428571429,0.7969,strong
CCSS.MATH.5.NBT.A.3,"Read, write, and compare decimals to thousandths.",0,0,0,none
CCSS.MATH.5.NBT.A.4,Use place value understanding to round decimals to any place.,1,0.7625000000000001,0.7625000000000001,weak
CCSS.MATH.5.NBT.B.4,Use place value understanding to round decimals to any place,1,0.7575000000000001,0.7575000000000001,weak
CCSS.MATH.5.NBT.B.5,Fluently multiply multi-digit whole numbers using the standard algorithm.,0,0,0,none
CCSS.MATH.5.NBT.B.6,"Find whole-number quotients of whole numbers with up to four-digit dividends and two-digit divisors, using strategies based on place value, the properties of operations, and/or the relationship between multiplication and division. Illustrate and explain the calculation by using equations, rectangular arrays, and/or area models.",18,0.7490277777777777,0.795,strong
CCSS.MATH.5.NBT.B.7,"Add, subtract, multiply, and divide decimals to hundredths, using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method and explain the reasoning used.",30,0.73197,0.794,strong
CCSS.MATH.5.NF.A.1,"Add and subtract fractions with unlike denominators (including mixed numbers) by replacing given fractions with equivalent fractions in such a way as to produce an equivalent sum or difference of fractions with like denominators. For example, 2/3 + 5/4 = 8/12+ 15/12 = 23/12. (In general, a/b + c/d = (ad + bc)/bd)",0,0,0,none
CCSS.MATH.5.NF.A.2,"Solve word problems involving addition and subtraction of fractions referring to the same whole, including cases of unlike denominators, e.g., by using visual fraction models or equations to represent the problem. Use benchmark fractions and number sense of fractions to estimate mentally and assess the reasonableness of answers. For example, recognize an incorrect result 2/5 + 1/2 = 3/7 by observing that 3/7 < 1/2.",54,0.7317407407407408,0.7818,strong
CCSS.MATH.5.NF.B.3,"Interpret a fraction as division of the numerator by the denominator (a/b = a ÷ b). Solve word problems involving division of whole numbers leading to answers in the form of fractions or mixed numbers, e.g., by using visual fraction models or equations to represent the problem. For example, interpret 3/4 as the result of dividing 3 by 4, noting that 3/4 multiplied by 4 equals 3 and that when 3 wholes are shared equally among 4 people each person has a share of size 3/4. If 9 people want to share a 50-pound sack of rice equally by weight, how many pounds of rice should each person get? Between what two whole numbers does your answer lie?",15,0.7683800000000001,0.8078000000000001,strong
CCSS.MATH.5.NF.B.4,Apply and extend previous understandings of multiplication to multiply a fraction or whole number by a fraction.,15,0.7668733333333333,0.8088,strong
CCSS.MATH.5.NF.B.5,Interpret multiplication as scaling (resizing) by:,1,0.6643,0.6643,weak
CCSS.MATH.5.NF.B.6,"Solve real world problems involving multiplication of fractions and mixed numbers, e.g., by using visual fraction models or equations to represent the problem",0,0,0,none
CCSS.MATH.5.NF.B.7,"Apply and extend previous understandings of division to divide unit fractions by whole numbers and whole numbers by unit fractions. (Students able to multiply fractions in general can develop strategies to divide fractions in general, by reasoning about the relationship between multiplication and division. But division of a fraction by a fraction is not a requirement at this grade.)",69,0.7561855072463768,0.8365,strong
CCSS.MATH.5.OA.A.1,"Use parentheses, brackets, or braces in numerical expressions, and evaluate expressions with these symbols.",0,0,0,none
CCSS.MATH.5.OA.A.2,"Write simple expressions that record calculations with numbers, and interpret numerical expressions without evaluating them. For example, express the calculation ""add 8 and 7, then multiply by 2"" as 2 × (8 + 7). Recognize that 3 × (18932 + 921) is three times as large as 18932 + 921, without having to calculate the indicated sum or product.",15,0.713,0.7774,strong
CCSS.MATH.5.OA.B.3,"Generate two numerical patterns using two given rules. Identify apparent relationships between corresponding terms. Form ordered pairs consisting of corresponding terms from the two patterns, and graph the ordered pairs on a coordinate plane. For example, given the rule ""Add 3"" and the starting number 0, and given the rule ""Add 6"" and the starting number 0, generate terms in the resulting sequences, and observe that the terms in one sequence are twice the corresponding terms in the other sequence. Explain informally why this is so.",1,0.6625,0.6625,weak
CCSS.MATH.6.EE.1,Write and evaluate numerical expressions involving whole-number exponents.,8,0.866775,0.95,strong
CCSS.MATH.6.EE.2,"Write, read, and evaluate expressions in which letters stand for numbers.",4,0.95,0.95,strong
CCSS.MATH.6.EE.3,"Apply the properties of operations to generate equivalent expressions. For example, apply the distributive property to the expression 3(2 + x) to produce the equivalent expression 6 + 3x; apply the distributive property to the expression 24x + 18y to produce the equivalent expression 6 (4x + 3y); apply properties of operations to y + y + y to produce the equivalent expression 3y.",14,0.7442214285714286,0.95,strong
CCSS.MATH.6.EE.4,"Identify when two expressions are equivalent (i.e., when the two expressions name the same number regardless of which value is substituted into them). For example, the expressions y + y + y and 3y are equivalent because they name the same number regardless of which number y stands for.",8,0.789,0.95,strong
CCSS.MATH.6.EE.5,"Understand solving an equation or inequality as a process of answering a question: which values from a specified set, if any, make the equation or inequality true? Use substitution to determine whether a given number in a specified set makes an equation or inequality true.",40,0.7276975,0.95,strong
CCSS.MATH.6.EE.6,"Use variables to represent numbers and write expressions when solving a real-world or mathematical problem; understand that a variable can represent an unknown number, or, depending on the purpose at hand, any number in a specified set.",19,0.7553157894736842,0.95,strong
